2025-10-09 08:08:33,141 - WARNING - Failed to fetch port stats for switch 18, using defaults
2025-10-09 08:08:33,209 - WARNING - Failed to fetch port stats for switch 41, using defaults
2025-10-09 08:08:33,233 - WARNING - Failed to fetch port stats for switch 12, using defaults
2025-10-09 08:08:33,268 - WARNING - Failed to fetch port stats for switch 46, using defaults
2025-10-09 08:08:33,337 - WARNING - Failed to fetch port stats for switch 4, using defaults
2025-10-09 08:08:33,362 - WARNING - Failed to fetch port stats for switch 28, using defaults
2025-10-09 08:08:33,379 - WARNING - Failed to fetch port stats for switch 38, using defaults
2025-10-09 08:08:33,395 - WARNING - Failed to fetch port stats for switch 45, using defaults
2025-10-09 08:08:33,442 - WARNING - Failed to fetch port stats for switch 27, using defaults
2025-10-09 08:08:33,470 - WARNING - Failed to fetch port stats for switch 19, using defaults
2025-10-09 08:08:33,504 - WARNING - Failed to fetch port stats for switch 5, using defaults
2025-10-09 08:08:33,518 - WARNING - Failed to fetch port stats for switch 47, using defaults
2025-10-09 08:08:33,587 - WARNING - Failed to fetch port stats for switch 24, using defaults
2025-10-09 08:08:33,602 - WARNING - Failed to fetch port stats for switch 25, using defaults
2025-10-09 08:08:33,683 - WARNING - Failed to fetch port stats for switch 43, using defaults
2025-10-09 08:08:33,708 - WARNING - Failed to fetch port stats for switch 40, using defaults
2025-10-09 08:08:33,744 - WARNING - Failed to fetch port stats for switch 15, using defaults
2025-10-09 08:08:33,766 - WARNING - Failed to fetch port stats for switch 34, using defaults
2025-10-09 08:08:33,838 - WARNING - Failed to fetch port stats for switch 6, using defaults
2025-10-09 08:08:33,852 - WARNING - Failed to fetch port stats for switch 44, using defaults
2025-10-09 08:08:33,884 - WARNING - Failed to fetch port stats for switch 30, using defaults
2025-10-09 08:08:33,911 - WARNING - Failed to fetch port stats for switch 8, using defaults
2025-10-09 08:08:33,936 - WARNING - Failed to fetch port stats for switch 21, using defaults
2025-10-09 08:08:33,980 - WARNING - Failed to fetch port stats for switch 13, using defaults
2025-10-09 08:08:34,006 - WARNING - Failed to fetch port stats for switch 32, using defaults
2025-10-09 08:08:34,019 - WARNING - Failed to fetch port stats for switch 29, using defaults
2025-10-09 08:08:34,056 - WARNING - Failed to fetch port stats for switch 33, using defaults
2025-10-09 08:08:34,096 - WARNING - Failed to fetch port stats for switch 14, using defaults
2025-10-09 08:08:34,135 - WARNING - Failed to fetch port stats for switch 7, using defaults
2025-10-09 08:08:34,150 - WARNING - Failed to fetch port stats for switch 244866307128911, using defaults
2025-10-09 08:08:34,164 - WARNING - Failed to fetch port stats for switch 35, using defaults
2025-10-09 08:08:34,200 - WARNING - Failed to fetch port stats for switch 22, using defaults
2025-10-09 08:08:34,223 - WARNING - Failed to fetch port stats for switch 42, using defaults
2025-10-09 08:08:34,239 - WARNING - Failed to fetch port stats for switch 9, using defaults
2025-10-09 08:08:34,254 - WARNING - Failed to fetch port stats for switch 3, using defaults
2025-10-09 08:08:34,269 - WARNING - Failed to fetch port stats for switch 10, using defaults
2025-10-09 08:08:34,284 - WARNING - Failed to fetch port stats for switch 16, using defaults
2025-10-09 08:08:34,563 - INFO - Graph updated: 96 nodes, 112 edges
2025-10-09 08:08:34,564 - ERROR - Failed to generate initial network features: invalid literal for int() with base 10: '000000000000002e'
2025-10-09 08:08:46,952 - INFO - Fetched switches: 48 switches
2025-10-09 08:08:46,954 - INFO - Fetched links: 112 links
2025-10-09 08:08:46,955 - INFO - Fetched hosts: 48 hosts
